id,date,time,topic,co2,humidity,temp
264603302,2024-12-10,19:18:32,/ttndata/eui-24e124785d160333-28,null,"58,5","20,5"
264602778,2024-12-10,19:17:32,/ttndata/eui-24e124785d160333-28,null,62,"20,2"
264602120,2024-12-10,19:16:32,/ttndata/eui-24e124785d160333-28,null,"77,5",20
264601621,2024-12-10,19:15:32,/ttndata/eui-24e124785d160333-28,null,"78,5","19,7"
264601038,2024-12-10,19:14:32,/ttndata/eui-24e124785d160333-28,null,80,"19,4"
264600335,2024-12-10,19:13:32,/ttndata/eui-24e124785d160333-28,null,81,"19,1"
264600011,2024-12-10,19:12:32,/ttndata/eui-24e124785d160333-28,null,82,"18,8"
264599486,2024-12-10,19:11:32,/ttndata/eui-24e124785d160333-28,null,83,"18,6"
264598940,2024-12-10,19:10:32,/ttndata/eui-24e124785d160333-28,null,84,"18,3"
264598278,2024-12-10,19:09:32,/ttndata/eui-24e124785d160333-28,null,"84,5",18
264597674,2024-12-10,19:08:32,/ttndata/eui-24e124785d160333-28,null,"85,5","17,8"
264597183,2024-12-10,19:07:32,/ttndata/eui-24e124785d160333-28,null,86,"17,6"
264596665,2024-12-10,19:06:32,/ttndata/eui-24e124785d160333-28,null,"86,5","17,3"
264595982,2024-12-10,19:05:32,/ttndata/eui-24e124785d160333-28,null,87,"17,1"
264595659,2024-12-10,19:04:32,/ttndata/eui-24e124785d160333-28,null,88,17
264595101,2024-12-10,19:03:32,/ttndata/eui-24e124785d160333-28,null,"88,5","16,8"
264594518,2024-12-10,19:02:32,/ttndata/eui-24e124785d160333-28,null,89,"16,5"
264593856,2024-12-10,19:01:32,/ttndata/eui-24e124785d160333-28,null,"89,5","16,4"
264593343,2024-12-10,19:00:32,/ttndata/eui-24e124785d160333-28,null,90,"16,2"
264592883,2024-12-10,18:59:32,/ttndata/eui-24e124785d160333-28,null,"90,5","15,9"
264592261,2024-12-10,18:58:32,/ttndata/eui-24e124785d160333-28,null,"90,5","15,7"
264591851,2024-12-10,18:57:32,/ttndata/eui-24e124785d160333-28,null,"90,5","15,5"
264591312,2024-12-10,18:56:32,/ttndata/eui-24e124785d160333-28,null,"90,5","15,3"
264590768,2024-12-10,18:55:32,/ttndata/eui-24e124785d160333-28,null,"90,5",15
264590245,2024-12-10,18:54:32,/ttndata/eui-24e124785d160333-28,null,90,"14,7"
264589704,2024-12-10,18:53:32,/ttndata/eui-24e124785d160333-28,null,90,"14,5"
