id,date,time,topic,co2,humidity,temp
264603383,2024-12-10,19:18:42,/ttndata/senzory/wifi/co2/69,1120,"59,46","21,19"
264603374,2024-12-10,19:18:35,/ttndata/senzory/wifi/co2/69,1123,"59,65","21,14"
264603301,2024-12-10,19:18:30,/ttndata/senzory/wifi/co2/69,1125,"59,90","21,14"
264603203,2024-12-10,19:18:19,/ttndata/senzory/wifi/co2/69,1128,"60,70","21,02"
264603063,2024-12-10,19:18:14,/ttndata/senzory/wifi/co2/69,1128,"60,96","20,98"
264603055,2024-12-10,19:18:09,/ttndata/senzory/wifi/co2/69,1129,"61,32","20,96"
264603022,2024-12-10,19:18:02,/ttndata/senzory/wifi/co2/69,1133,"61,69","20,93"
264602877,2024-12-10,19:17:57,/ttndata/senzory/wifi/co2/69,1135,"62,06","20,92"
264602846,2024-12-10,19:17:51,/ttndata/senzory/wifi/co2/69,1136,"62,97","20,85"
264602826,2024-12-10,19:17:45,/ttndata/senzory/wifi/co2/69,1138,"63,56","20,85"
264602787,2024-12-10,19:17:34,/ttndata/senzory/wifi/co2/69,1156,"64,77","20,79"
264602769,2024-12-10,19:17:29,/ttndata/senzory/wifi/co2/69,1158,"65,40","20,78"
264602641,2024-12-10,19:17:24,/ttndata/senzory/wifi/co2/69,1171,"66,14","20,76"
264602633,2024-12-10,19:17:17,/ttndata/senzory/wifi/co2/69,1176,"66,95","20,74"
264602554,2024-12-10,19:17:12,/ttndata/senzory/wifi/co2/69,1179,"67,76","20,72"
264602460,2024-12-10,19:17:01,/ttndata/senzory/wifi/co2/69,1187,"70,34","20,66"
264602372,2024-12-10,19:16:56,/ttndata/senzory/wifi/co2/69,1189,"70,88","20,64"
264602299,2024-12-10,19:16:50,/ttndata/senzory/wifi/co2/69,1188,"71,08","20,61"
264602282,2024-12-10,19:16:44,/ttndata/senzory/wifi/co2/69,1188,"71,18","20,61"
264602268,2024-12-10,19:16:39,/ttndata/senzory/wifi/co2/69,1188,"71,25","20,59"
264602122,2024-12-10,19:16:32,/ttndata/senzory/wifi/co2/69,1190,"71,36","20,53"
