id,date,time,topic,co2,humidity,temp
1,2024-12-15,19:00:00,ahoj,1,2,30
2,2024-12-15,18:59:50,ahoj,1,2,30
3,2024-12-15,18:59:40,ahoj,1,2,30
4,2024-12-15,18:59:30,ahoj,1,2,30
5,2024-12-15,18:59:20,ahoj,1,2,30
6,2024-12-15,18:59:10,ahoj,1,2,30
7,2024-12-15,18:59:00,ahoj,1,2,29
8,2024-12-15,18:58:50,ahoj,1,2,29
9,2024-12-15,18:58:40,ahoj,1,2,29
10,2024-12-15,18:58:30,ahoj,1,2,29
11,2024-12-15,18:58:20,ahoj,1,2,29
12,2024-12-15,18:58:10,ahoj,1,2,29
13,2024-12-15,18:58:00,ahoj,1,2,28
14,2024-12-15,18:57:50,ahoj,1,2,28
15,2024-12-15,18:57:40,ahoj,1,2,28
16,2024-12-15,18:57:30,ahoj,1,2,28
17,2024-12-15,18:57:20,ahoj,1,2,28
18,2024-12-15,18:57:10,ahoj,1,2,28
19,2024-12-15,18:57:00,ahoj,1,2,28
20,2024-12-15,18:56:50,ahoj,1,2,27
21,2024-12-15,18:56:40,ahoj,1,2,27
22,2024-12-15,18:56:30,ahoj,1,2,27
23,2024-12-15,18:56:20,ahoj,1,2,27
24,2024-12-15,18:56:10,ahoj,1,2,27
25,2024-12-15,18:56:00,ahoj,1,2,26
26,2024-12-15,18:55:50,ahoj,1,2,26
27,2024-12-15,18:55:40,ahoj,1,2,26
28,2024-12-15,18:55:30,ahoj,1,2,26
29,2024-12-15,18:55:20,ahoj,1,2,26
30,2024-12-15,18:55:10,ahoj,1,2,26
31,2024-12-15,18:55:00,ahoj,1,2,25
32,2024-12-15,18:54:50,ahoj,1,2,25
33,2024-12-15,18:54:40,ahoj,1,2,25
34,2024-12-15,18:54:30,ahoj,1,2,25
35,2024-12-15,18:54:20,ahoj,1,2,25
36,2024-12-15,18:54:10,ahoj,1,2,25
37,2024-12-15,18:54:00,ahoj,1,2,24
38,2024-12-15,18:53:50,ahoj,1,2,24
39,2024-12-15,18:53:40,ahoj,1,2,24
40,2024-12-15,18:53:30,ahoj,1,2,24
41,2024-12-15,18:53:20,ahoj,1,2,24
42,2024-12-15,18:53:10,ahoj,1,2,24
43,2024-12-15,18:53:00,ahoj,1,2,24
44,2024-12-15,18:52:50,ahoj,1,2,23
45,2024-12-15,18:52:40,ahoj,1,2,23
46,2024-12-15,18:52:30,ahoj,1,2,23
47,2024-12-15,18:52:20,ahoj,1,2,23
48,2024-12-15,18:52:10,ahoj,1,2,23
49,2024-12-15,18:52:00,ahoj,1,2,23
50,2024-12-15,18:51:50,ahoj,1,2,22
51,2024-12-15,18:51:40,ahoj,1,2,22
52,2024-12-15,18:51:30,ahoj,1,2,22
53,2024-12-15,18:51:20,ahoj,1,2,22
54,2024-12-15,18:51:10,ahoj,1,2,22
55,2024-12-15,18:51:00,ahoj,1,2,22
56,2024-12-15,18:50:50,ahoj,1,2,21
57,2024-12-15,18:50:40,ahoj,1,2,21
58,2024-12-15,18:50:30,ahoj,1,2,21
59,2024-12-15,18:50:20,ahoj,1,2,21
60,2024-12-15,18:50:10,ahoj,1,2,21
61,2024-12-15,18:50:00,ahoj,1,2,21
62,2024-12-15,18:49:50,ahoj,1,2,20
63,2024-12-15,18:49:40,ahoj,1,2,20
64,2024-12-15,18:49:30,ahoj,1,2,20
65,2024-12-15,18:49:20,ahoj,1,2,20
66,2024-12-15,18:49:10,ahoj,1,2,20
67,2024-12-15,18:49:00,ahoj,1,2,20
68,2024-12-15,18:48:50,ahoj,1,2,19
69,2024-12-15,18:48:40,ahoj,1,2,19
70,2024-12-15,18:48:30,ahoj,1,2,19
71,2024-12-15,18:48:20,ahoj,1,2,19
72,2024-12-15,18:48:10,ahoj,1,2,19
73,2024-12-15,18:48:00,ahoj,1,2,19
74,2024-12-15,18:47:50,ahoj,1,2,18
75,2024-12-15,18:47:40,ahoj,1,2,18
76,2024-12-15,18:47:30,ahoj,1,2,18
77,2024-12-15,18:47:20,ahoj,1,2,18
78,2024-12-15,18:47:10,ahoj,1,2,18
79,2024-12-15,18:47:00,ahoj,1,2,18
80,2024-12-15,18:46:50,ahoj,1,2,17
81,2024-12-15,18:46:40,ahoj,1,2,17
82,2024-12-15,18:46:30,ahoj,1,2,17
83,2024-12-15,18:46:20,ahoj,1,2,17
84,2024-12-15,18:46:10,ahoj,1,2,17
85,2024-12-15,18:46:00,ahoj,1,2,17
86,2024-12-15,18:45:50,ahoj,1,2,16
87,2024-12-15,18:45:40,ahoj,1,2,16
88,2024-12-15,18:45:30,ahoj,1,2,16
89,2024-12-15,18:45:20,ahoj,1,2,16
90,2024-12-15,18:45:10,ahoj,1,2,16
91,2024-12-15,18:45:00,ahoj,1,2,16
92,2024-12-15,18:44:50,ahoj,1,2,15
93,2024-12-15,18:44:40,ahoj,1,2,15
94,2024-12-15,18:44:30,ahoj,1,2,15
95,2024-12-15,18:44:20,ahoj,1,2,15
96,2024-12-15,18:44:10,ahoj,1,2,15
97,2024-12-15,18:44:00,ahoj,1,2,15
