"id","time","topic","payload"
"268997585","2024-12-16 21:13:46","/ttndata/eui-70b3d57ed006209e-co-04","{""end_device_ids"":{""device_id"":""eui-70b3d57ed006209e-co-04"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED006209E"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE169""},""correlation_ids"":[""gs:uplink:01JF8HNXY1CYFSZDDVKSE1A9Y8""],""received_at"":""2024-12-16T20:13:46.001823111Z"",""uplink_message"":{""session_key_id"":""AZPOsofyfu/2m9IjD7kxyw=="",""f_port"":1,""f_cnt"":132,""frm_payload"":""NDsxMTYxOzI5LjU7MzA="",""decoded_payload"":{""format"":""string"",""msg"":""4;1161;29.5;30"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-16T20:13:45.741316Z"",""timestamp"":1088277523,""rssi"":-17,""channel_rssi"":-17,""snr"":9.5,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEJOY94YEGgwI+ZOCuwYQ9+2D+gIguNSUk9aBCg=="",""channel_index"":3,""received_at"":""2024-12-16T20:13:45.766616973Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867100000"",""timestamp"":1088277523,""time"":""2024-12-16T20:13:45.741316Z""},""received_at"":""2024-12-16T20:13:45.794109431Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"268994923","2024-12-16 21:08:39","/ttndata/eui-70b3d57ed006209e-co-04","{""end_device_ids"":{""device_id"":""eui-70b3d57ed006209e-co-04"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED006209E"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE169""},""correlation_ids"":[""gs:uplink:01JF8HCJYY2N33XEV7J297Q75C""],""received_at"":""2024-12-16T20:08:39.850714115Z"",""uplink_message"":{""session_key_id"":""AZPOsofyfu/2m9IjD7kxyw=="",""f_port"":1,""f_cnt"":131,""frm_payload"":""NDsxMTUwOzI5LjU7MzE="",""decoded_payload"":{""format"":""string"",""msg"":""4;1150;29.5;31"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-16T20:08:39.597886Z"",""timestamp"":782130635,""rssi"":-5,""channel_rssi"":-5,""snr"":7.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEMu7+fQCGgwIx5GCuwYQjOzsswIg+MH51OH4CQ=="",""channel_index"":2,""received_at"":""2024-12-16T20:08:39.621742313Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868500000"",""timestamp"":782130635,""time"":""2024-12-16T20:08:39.597886Z""},""received_at"":""2024-12-16T20:08:39.647073458Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"268992526","2024-12-16 21:03:33","/ttndata/eui-70b3d57ed006209e-co-04","{""end_device_ids"":{""device_id"":""eui-70b3d57ed006209e-co-04"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED006209E"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE169""},""correlation_ids"":[""gs:uplink:01JF8H37ZNT4YGJR7E4268ESQQ""],""received_at"":""2024-12-16T20:03:33.704363703Z"",""uplink_message"":{""session_key_id"":""AZPOsofyfu/2m9IjD7kxyw=="",""f_port"":1,""f_cnt"":130,""frm_payload"":""NDsxMTQ5OzI5LjU7MzE="",""decoded_payload"":{""format"":""string"",""msg"":""4;1149;29.5;31"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-16T20:03:33.453947Z"",""timestamp"":475983772,""rssi"":-9,""channel_rssi"":-9,""snr"":9.5,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEJzf++IBGgwIlY+CuwYQg/Pu6gEg4PLflu3vCQ=="",""channel_index"":7,""received_at"":""2024-12-16T20:03:33.468683872Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867900000"",""timestamp"":475983772,""time"":""2024-12-16T20:03:33.453947Z""},""received_at"":""2024-12-16T20:03:33.493828739Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"268990168","2024-12-16 20:58:27","/ttndata/eui-70b3d57ed006209e-co-04","{""end_device_ids"":{""device_id"":""eui-70b3d57ed006209e-co-04"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED006209E"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE169""},""correlation_ids"":[""gs:uplink:01JF8GSX0H56533B7CJZ8TV8MW""],""received_at"":""2024-12-16T19:58:27.551310698Z"",""uplink_message"":{""session_key_id"":""AZPOsofyfu/2m9IjD7kxyw=="",""f_port"":1,""f_cnt"":129,""frm_payload"":""NDsxMTQyOzI5LjU7MzE="",""decoded_payload"":{""format"":""string"",""msg"":""4;1142;29.5;31"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-16T19:58:27.302135Z"",""timestamp"":169836883,""rssi"":-9,""channel_rssi"":-9,""snr"":10.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQENOC/lAaDAjjjIK7BhDBjMukASC42MTY+OYJ"",""channel_index"":1,""received_at"":""2024-12-16T19:58:27.322289571Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868300000"",""timestamp"":169836883,""time"":""2024-12-16T19:58:27.302135Z""},""received_at"":""2024-12-16T19:58:27.346092597Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"268987630","2024-12-16 20:53:21","/ttndata/eui-70b3d57ed006209e-co-04","{""end_device_ids"":{""device_id"":""eui-70b3d57ed006209e-co-04"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED006209E"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE169""},""correlation_ids"":[""gs:uplink:01JF8GGJ1MG446ZM0X8GFN1JM5""],""received_at"":""2024-12-16T19:53:21.408704361Z"",""uplink_message"":{""session_key_id"":""AZPOsofyfu/2m9IjD7kxyw=="",""f_port"":1,""f_cnt"":128,""frm_payload"":""NDsxMTUxOzI5LjU7MzE="",""decoded_payload"":{""format"":""string"",""msg"":""4;1151;29.5;31"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-16T19:53:21.158715Z"",""timestamp"":4158657308,""rssi"":-9,""channel_rssi"":-9,""snr"":9.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEJymgL8PGgsIsYqCuwYQrYCeYSDgyqqahN4J"",""channel_index"":6,""received_at"":""2024-12-16T19:53:21.178961720Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867700000"",""timestamp"":4158657308,""time"":""2024-12-16T19:53:21.158715Z""},""received_at"":""2024-12-16T19:53:21.204918362Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"268985247","2024-12-16 20:48:15","/ttndata/eui-70b3d57ed006209e-co-04","{""end_device_ids"":{""device_id"":""eui-70b3d57ed006209e-co-04"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED006209E"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE169""},""correlation_ids"":[""gs:uplink:01JF8G772C4JMQEA0131G8FFDM""],""received_at"":""2024-12-16T19:48:15.258148179Z"",""uplink_message"":{""session_key_id"":""AZPOsofyfu/2m9IjD7kxyw=="",""f_port"":1,""f_cnt"":127,""frm_payload"":""NDsxMTUwOzI5LjU7MzE="",""decoded_payload"":{""format"":""string"",""msg"":""4;1150;29.5;31"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-16T19:48:15.014736Z"",""timestamp"":3852510419,""rssi"":-11,""channel_rssi"":-11,""snr"":10.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQENPJgq0OGgsI/4eCuwYQhb+iGCC4sI/cj9UJ"",""received_at"":""2024-12-16T19:48:15.025062177Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868100000"",""timestamp"":3852510419,""time"":""2024-12-16T19:48:15.014736Z""},""received_at"":""2024-12-16T19:48:15.053283569Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"268982818","2024-12-16 20:43:09","/ttndata/eui-70b3d57ed006209e-co-04","{""end_device_ids"":{""device_id"":""eui-70b3d57ed006209e-co-04"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED006209E"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE169""},""correlation_ids"":[""gs:uplink:01JF8FXW3DT5BX4D36773QRQ5S""],""received_at"":""2024-12-16T19:43:09.116743319Z"",""uplink_message"":{""session_key_id"":""AZPOsofyfu/2m9IjD7kxyw=="",""f_port"":1,""f_cnt"":126,""frm_payload"":""NDsxMTUzOzI5LjU7MzE="",""decoded_payload"":{""format"":""string"",""msg"":""4;1153;29.5;31"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-16T19:43:08.861413Z"",""timestamp"":3546363556,""rssi"":-9,""channel_rssi"":-9,""snr"":8,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEKTthJsNGgwIzIWCuwYQtNnVsQMgoOH1nZvMCQ=="",""channel_index"":5,""received_at"":""2024-12-16T19:43:08.883636304Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867500000"",""timestamp"":3546363556,""time"":""2024-12-16T19:43:08.861413Z""},""received_at"":""2024-12-16T19:43:08.910620427Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"268980497","2024-12-16 20:38:03","/ttndata/eui-70b3d57ed006209e-co-04","{""end_device_ids"":{""device_id"":""eui-70b3d57ed006209e-co-04"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED006209E"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE169""},""correlation_ids"":[""gs:uplink:01JF8FMH4G393W49NFK7S3EXTD""],""received_at"":""2024-12-16T19:38:02.976064304Z"",""uplink_message"":{""session_key_id"":""AZPOsofyfu/2m9IjD7kxyw=="",""f_port"":1,""f_cnt"":125,""frm_payload"":""NDsxMTUzOzI5LjU7MzE="",""decoded_payload"":{""format"":""string"",""msg"":""4;1153;29.5;31"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-16T19:38:02.718565Z"",""timestamp"":3240216675,""rssi"":-7,""channel_rssi"":-7,""snr"":6.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEOOQh4kMGgwImoOCuwYQvqOp7gIguIXb36bDCQ=="",""channel_index"":2,""received_at"":""2024-12-16T19:38:02.742734091Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868500000"",""timestamp"":3240216675,""time"":""2024-12-16T19:38:02.718565Z""},""received_at"":""2024-12-16T19:38:02.769556344Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"268978052","2024-12-16 20:32:56","/ttndata/eui-70b3d57ed006209e-co-04","{""end_device_ids"":{""device_id"":""eui-70b3d57ed006209e-co-04"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED006209E"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE169""},""correlation_ids"":[""gs:uplink:01JF8FB652STA86JGJ2CQ01AYZ""],""received_at"":""2024-12-16T19:32:56.818040668Z"",""uplink_message"":{""session_key_id"":""AZPOsofyfu/2m9IjD7kxyw=="",""f_port"":1,""f_cnt"":124,""frm_payload"":""NDsxMTYwOzI5LjU7MzE="",""decoded_payload"":{""format"":""string"",""msg"":""4;1160;29.5;31"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-16T19:32:56.574610Z"",""timestamp"":2934069844,""rssi"":-7,""channel_rssi"":-7,""snr"":8.25,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQENS0ifcKGgwI6ICCuwYQ+JvLogIgoLDDobK6CQ=="",""channel_index"":4,""received_at"":""2024-12-16T19:32:56.585316790Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867300000"",""timestamp"":2934069844,""time"":""2024-12-16T19:32:56.574610Z""},""received_at"":""2024-12-16T19:32:56.611335866Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"268975233","2024-12-16 20:27:51","/ttndata/eui-70b3d57ed006209e-co-04","{""end_device_ids"":{""device_id"":""eui-70b3d57ed006209e-co-04"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED006209E"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE169""},""correlation_ids"":[""gs:uplink:01JF8F1W6KJD456KTQ9BTWF8CY""],""received_at"":""2024-12-16T19:27:51.715543924Z"",""uplink_message"":{""session_key_id"":""AZPOsofyfu/2m9IjD7kxyw=="",""f_port"":1,""f_cnt"":123,""frm_payload"":""NDsxMTYyOzI5LjU7MzE="",""decoded_payload"":{""format"":""string"",""msg"":""4;1162;29.5;31"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-16T19:27:51.466449Z"",""timestamp"":2628966947,""rssi"":-8,""channel_rssi"":-8,""snr"":10,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEKO0y+UJGgwIt/6BuwYQvt+o8QEguLGQ1cGxCQ=="",""channel_index"":1,""received_at"":""2024-12-16T19:27:51.480945Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868300000"",""timestamp"":2628966947,""time"":""2024-12-16T19:27:51.466449Z""},""received_at"":""2024-12-16T19:27:51.508389667Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
