"id","time","topic","payload"
"271160511","2024-12-19 19:29:44","/ttndata/eui-24e124785d166701-26","{""end_device_ids"":{""device_id"":""eui-24e124785d166701-26"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D166520"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B13B8""},""correlation_ids"":[""gs:uplink:01JFG2XKT13TAFNMP7A8DGPT2X""],""received_at"":""2024-12-19T18:29:44.591727996Z"",""uplink_message"":{""session_key_id"":""AZPfPgiTUVpjQnwRXcvGlg=="",""f_port"":85,""f_cnt"":265,""frm_payload"":""AXVeA2c9AARogA=="",""decoded_payload"":{""decoded"":{""battery"":94,""humidity"":64,""temperature"":6.1},""errors"":[],""format"":""hex"",""msg"":""01 75 5E 03 67 3D 00 04 68 80"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:29:44.342403Z"",""timestamp"":4062614012,""rssi"":-13,""channel_rssi"":-13,""snr"":9,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEPyjmpEPGgwImMyRuwYQ58DZtwEg4ICptZ7tAw=="",""channel_index"":4,""received_at"":""2024-12-19T18:29:44.362915206Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867300000"",""timestamp"":4062614012,""time"":""2024-12-19T18:29:44.342403Z""},""received_at"":""2024-12-19T18:29:44.386256689Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271160042","2024-12-19 19:28:44","/ttndata/eui-24e124785d166701-26","{""end_device_ids"":{""device_id"":""eui-24e124785d166701-26"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D166520"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B13B8""},""correlation_ids"":[""gs:uplink:01JFG2VS6V2DPYXHN6Q4XJ26GT""],""received_at"":""2024-12-19T18:28:44.584592982Z"",""uplink_message"":{""session_key_id"":""AZPfPgiTUVpjQnwRXcvGlg=="",""f_port"":85,""f_cnt"":264,""frm_payload"":""AXVeA2dAAARogA=="",""decoded_payload"":{""decoded"":{""battery"":94,""humidity"":64,""temperature"":6.4},""errors"":[],""format"":""hex"",""msg"":""01 75 5E 03 67 40 00 04 68 80"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:28:44.340509Z"",""timestamp"":4002611435,""rssi"":-19,""channel_rssi"":-19,""snr"":10.25,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEOuBzPQOGgwI3MuRuwYQltXQtAEg+Kvu8b7rAw=="",""received_at"":""2024-12-19T18:28:44.355489563Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868100000"",""timestamp"":4002611435,""time"":""2024-12-19T18:28:44.340509Z""},""received_at"":""2024-12-19T18:28:44.381260904Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271159416","2024-12-19 19:27:44","/ttndata/eui-24e124785d166701-26","{""end_device_ids"":{""device_id"":""eui-24e124785d166701-26"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D166520"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B13B8""},""correlation_ids"":[""gs:uplink:01JFG2SYM6ZHF1QT8R7NPJG79W""],""received_at"":""2024-12-19T18:27:44.599993977Z"",""uplink_message"":{""session_key_id"":""AZPfPgiTUVpjQnwRXcvGlg=="",""f_port"":85,""f_cnt"":263,""frm_payload"":""AXVeA2dEAARogw=="",""decoded_payload"":{""decoded"":{""battery"":94,""humidity"":65.5,""temperature"":6.8},""errors"":[],""format"":""hex"",""msg"":""01 75 5E 03 67 44 00 04 68 83"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:27:44.345189Z"",""timestamp"":3942615380,""rssi"":-15,""channel_rssi"":-15,""snr"":8.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQENSS/tcOGgwIoMuRuwYQtdH7uQEgoODBsd/pAw=="",""channel_index"":7,""received_at"":""2024-12-19T18:27:44.367024814Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867900000"",""timestamp"":3942615380,""time"":""2024-12-19T18:27:44.345189Z""},""received_at"":""2024-12-19T18:27:44.392450268Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271159000","2024-12-19 19:26:44","/ttndata/eui-24e124785d166701-26","{""end_device_ids"":{""device_id"":""eui-24e124785d166701-26"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D166520"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B13B8""},""correlation_ids"":[""gs:uplink:01JFG2R40ZHBBASHD0704WYZT8""],""received_at"":""2024-12-19T18:26:44.592965700Z"",""uplink_message"":{""session_key_id"":""AZPfPgiTUVpjQnwRXcvGlg=="",""f_port"":85,""f_cnt"":262,""frm_payload"":""AXVeA2dHAARohw=="",""decoded_payload"":{""decoded"":{""battery"":94,""humidity"":67.5,""temperature"":7.1},""errors"":[],""format"":""hex"",""msg"":""01 75 5E 03 67 47 00 04 68 87"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:26:44.343282Z"",""timestamp"":3882612820,""rssi"":-17,""channel_rssi"":-17,""snr"":7.5,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQENTwr7sOGgwI5MqRuwYQ64PstgEgoJCI7v/nAw=="",""channel_index"":2,""received_at"":""2024-12-19T18:26:44.361036166Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868500000"",""timestamp"":3882612820,""time"":""2024-12-19T18:26:44.343282Z""},""received_at"":""2024-12-19T18:26:44.384786559Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271158424","2024-12-19 19:25:44","/ttndata/eui-24e124785d166701-26","{""end_device_ids"":{""device_id"":""eui-24e124785d166701-26"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D166520"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B13B8""},""correlation_ids"":[""gs:uplink:01JFG2P9E5AKPQG4J3XF84VQ8X""],""received_at"":""2024-12-19T18:25:44.597117283Z"",""uplink_message"":{""session_key_id"":""AZPfPgiTUVpjQnwRXcvGlg=="",""f_port"":85,""f_cnt"":261,""frm_payload"":""AXVeA2dJAARojA=="",""decoded_payload"":{""decoded"":{""battery"":94,""humidity"":70,""temperature"":7.3},""errors"":[],""format"":""hex"",""msg"":""01 75 5E 03 67 49 00 04 68 8C"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:25:44.347994Z"",""timestamp"":3822616827,""rssi"":-17,""channel_rssi"":-17,""snr"":9.5,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEPuB4p4OGgwIqMqRuwYQtOGyuQEg+KjfraDmAw=="",""received_at"":""2024-12-19T18:25:44.366389327Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868100000"",""timestamp"":3822616827,""time"":""2024-12-19T18:25:44.347994Z""},""received_at"":""2024-12-19T18:25:44.390360774Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271157989","2024-12-19 19:24:44","/ttndata/eui-24e124785d166701-26","{""end_device_ids"":{""device_id"":""eui-24e124785d166701-26"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D166520"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B13B8""},""correlation_ids"":[""gs:uplink:01JFG2METZ830HQS2MT7S3A4S3""],""received_at"":""2024-12-19T18:24:44.591021931Z"",""uplink_message"":{""session_key_id"":""AZPfPgiTUVpjQnwRXcvGlg=="",""f_port"":85,""f_cnt"":260,""frm_payload"":""AXVeA2dLAARokg=="",""decoded_payload"":{""decoded"":{""battery"":94,""humidity"":73,""temperature"":7.5},""errors"":[],""format"":""hex"",""msg"":""01 75 5E 03 67 4B 00 04 68 92"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:24:44.353398Z"",""timestamp"":3762621540,""rssi"":-14,""channel_rssi"":-14,""snr"":9.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEOSYlIIOGgwI7MmRuwYQ7Z6YtgEgoM3h7cDkAw=="",""channel_index"":4,""received_at"":""2024-12-19T18:24:44.358845248Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867300000"",""timestamp"":3762621540,""time"":""2024-12-19T18:24:44.353398Z""},""received_at"":""2024-12-19T18:24:44.383956830Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271157450","2024-12-19 19:23:44","/ttndata/eui-24e124785d166701-26","{""end_device_ids"":{""device_id"":""eui-24e124785d166701-26"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D166520"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B13B8""},""correlation_ids"":[""gs:uplink:01JFG2JM84KW19SZJH6ZKWGCE6""],""received_at"":""2024-12-19T18:23:44.596034222Z"",""uplink_message"":{""session_key_id"":""AZPfPgiTUVpjQnwRXcvGlg=="",""f_port"":85,""f_cnt"":259,""frm_payload"":""AXVeA2dNAARolw=="",""decoded_payload"":{""decoded"":{""battery"":94,""humidity"":75.5,""temperature"":7.7},""errors"":[],""format"":""hex"",""msg"":""01 75 5E 03 67 4D 00 04 68 97"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:23:44.347705Z"",""timestamp"":3702615108,""rssi"":-15,""channel_rssi"":-15,""snr"":7.25,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEMTYxeUNGgwIsMmRuwYQ0+LzuAEgoNO7qOHiAw=="",""channel_index"":2,""received_at"":""2024-12-19T18:23:44.365417476Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868500000"",""timestamp"":3702615108,""time"":""2024-12-19T18:23:44.347705Z""},""received_at"":""2024-12-19T18:23:44.389526821Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271156901","2024-12-19 19:22:44","/ttndata/eui-24e124785d166701-26","{""end_device_ids"":{""device_id"":""eui-24e124785d166701-26"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D166520"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B13B8""},""correlation_ids"":[""gs:uplink:01JFG2GSN3QR3AVEXP8K62Q6KK""],""received_at"":""2024-12-19T18:22:44.592117935Z"",""uplink_message"":{""session_key_id"":""AZPfPgiTUVpjQnwRXcvGlg=="",""f_port"":85,""f_cnt"":258,""frm_payload"":""AXVeA2dOAARonQ=="",""decoded_payload"":{""decoded"":{""battery"":94,""humidity"":78.5,""temperature"":7.8},""errors"":[],""format"":""hex"",""msg"":""01 75 5E 03 67 4E 00 04 68 9D"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:22:44.352364Z"",""timestamp"":3642619100,""rssi"":-14,""channel_rssi"":-14,""snr"":7.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQENzp98gNGgwI9MiRuwYQxdq8uAEg4PaR6IHhAw=="",""channel_index"":5,""received_at"":""2024-12-19T18:22:44.364515318Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867500000"",""timestamp"":3642619100,""time"":""2024-12-19T18:22:44.352364Z""},""received_at"":""2024-12-19T18:22:44.388489772Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271156479","2024-12-19 19:21:44","/ttndata/eui-24e124785d166701-26","{""end_device_ids"":{""device_id"":""eui-24e124785d166701-26"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D166520"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B13B8""},""correlation_ids"":[""gs:uplink:01JFG2EZ1WFFVKJ5145R3Q06CR""],""received_at"":""2024-12-19T18:21:44.585274205Z"",""uplink_message"":{""session_key_id"":""AZPfPgiTUVpjQnwRXcvGlg=="",""f_port"":85,""f_cnt"":257,""frm_payload"":""AXVeA2dPAARooQ=="",""decoded_payload"":{""decoded"":{""battery"":94,""humidity"":80.5,""temperature"":7.9},""errors"":[],""format"":""hex"",""msg"":""01 75 5E 03 67 4F 00 04 68 A1"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:21:44.350540Z"",""timestamp"":3582616596,""rssi"":-15,""channel_rssi"":-15,""snr"":9.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEJTIqawNGgwIuMiRuwYQtIyltQEgoNzbpKLfAw=="",""channel_index"":4,""received_at"":""2024-12-19T18:21:44.357837029Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867300000"",""timestamp"":3582616596,""time"":""2024-12-19T18:21:44.350540Z""},""received_at"":""2024-12-19T18:21:44.381240534Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271155828","2024-12-19 19:20:44","/ttndata/eui-24e124785d166701-26","{""end_device_ids"":{""device_id"":""eui-24e124785d166701-26"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D166520"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B13B8""},""correlation_ids"":[""gs:uplink:01JFG2D4F85GHMCH27CATYTJX9""],""received_at"":""2024-12-19T18:20:44.601528030Z"",""uplink_message"":{""session_key_id"":""AZPfPgiTUVpjQnwRXcvGlg=="",""f_port"":85,""f_cnt"":256,""frm_payload"":""AXVeA2dPAARopA=="",""decoded_payload"":{""decoded"":{""battery"":94,""humidity"":82,""temperature"":7.9},""errors"":[],""format"":""hex"",""msg"":""01 75 5E 03 67 4F 00 04 68 A4"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:20:44.355212Z"",""timestamp"":3522620580,""rssi"":-17,""channel_rssi"":-17,""snr"":10,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEKTZ248NGgwI/MeRuwYQ5/3dugEgoMGx5MLdAw=="",""channel_index"":7,""received_at"":""2024-12-19T18:20:44.368768121Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867900000"",""timestamp"":3522620580,""time"":""2024-12-19T18:20:44.355212Z""},""received_at"":""2024-12-19T18:20:44.393135790Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
