"id","time","topic","payload"
"264603302","2024-12-10 19:18:32","/ttndata/eui-24e124785d160333-28","{""end_device_ids"":{""device_id"":""eui-24e124785d160333-28"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D160333"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B2714""},""correlation_ids"":[""gs:uplink:01JERWPMJW1W07P25824GJD861""],""received_at"":""2024-12-10T18:18:32.620396906Z"",""uplink_message"":{""session_key_id"":""AY5v9iQTPIoc0bpioj3smQ=="",""f_port"":85,""f_cnt"":37758,""frm_payload"":""AXVgA2fNAARodQ=="",""decoded_payload"":{""decoded"":{""battery"":96,""humidity"":58.5,""temperature"":20.5},""errors"":[],""format"":""hex"",""msg"":""01 75 60 03 67 CD 00 04 68 75"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:18:32.357658Z"",""timestamp"":2244246197,""rssi"":-77,""channel_rssi"":-77,""snr"":9.25,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABC19ZGuCBoMCPiL4roGEOSSwcQBIIim/buouwI="",""channel_index"":3,""received_at"":""2024-12-10T18:18:32.392131151Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867100000"",""timestamp"":2244246197,""time"":""2024-12-10T18:18:32.357658Z""},""received_at"":""2024-12-10T18:18:32.413246670Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264602778","2024-12-10 19:17:32","/ttndata/eui-24e124785d160333-28","{""end_device_ids"":{""device_id"":""eui-24e124785d160333-28"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D160333"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B2714""},""correlation_ids"":[""gs:uplink:01JERWMT0AAQ3M19CQP4HJ6XSW""],""received_at"":""2024-12-10T18:17:32.631151468Z"",""uplink_message"":{""session_key_id"":""AY5v9iQTPIoc0bpioj3smQ=="",""f_port"":85,""f_cnt"":37757,""frm_payload"":""AXVgA2fKAARofA=="",""decoded_payload"":{""decoded"":{""battery"":96,""humidity"":62,""temperature"":20.2},""errors"":[],""format"":""hex"",""msg"":""01 75 60 03 67 CA 00 04 68 7C"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:17:32.360602Z"",""timestamp"":2184248692,""rssi"":-74,""channel_rssi"":-74,""snr"":7.75,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABD0+sORCBoMCLyL4roGEKu6/soBIKCa+PrIuQI="",""channel_index"":5,""received_at"":""2024-12-10T18:17:32.405718550Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867500000"",""timestamp"":2184248692,""time"":""2024-12-10T18:17:32.360602Z""},""received_at"":""2024-12-10T18:17:32.426951914Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264602120","2024-12-10 19:16:32","/ttndata/eui-24e124785d160333-28","{""end_device_ids"":{""device_id"":""eui-24e124785d160333-28"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D160333"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B2714""},""correlation_ids"":[""gs:uplink:01JERWJZD352STE6HHRPCNTGXN""],""received_at"":""2024-12-10T18:16:32.627528699Z"",""uplink_message"":{""session_key_id"":""AY5v9iQTPIoc0bpioj3smQ=="",""f_port"":85,""f_cnt"":37756,""frm_payload"":""AXVgA2fIAARomw=="",""decoded_payload"":{""decoded"":{""battery"":96,""humidity"":77.5,""temperature"":20},""errors"":[],""format"":""hex"",""msg"":""01 75 60 03 67 C8 00 04 68 9B"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:16:32.364612Z"",""timestamp"":2124251837,""rssi"":-67,""channel_rssi"":-67,""snr"":9.25,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABC9hfb0BxoMCICL4roGEJS6/McBIMjkmrrptwI="",""channel_index"":4,""received_at"":""2024-12-10T18:16:32.399330350Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867300000"",""timestamp"":2124251837,""time"":""2024-12-10T18:16:32.364612Z""},""received_at"":""2024-12-10T18:16:32.421066520Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264601621","2024-12-10 19:15:32","/ttndata/eui-24e124785d160333-28","{""end_device_ids"":{""device_id"":""eui-24e124785d160333-28"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D160333"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B2714""},""correlation_ids"":[""gs:uplink:01JERWH4T93G2G276ZRDQKAE6A""],""received_at"":""2024-12-10T18:15:32.632575018Z"",""uplink_message"":{""session_key_id"":""AY5v9iQTPIoc0bpioj3smQ=="",""f_port"":85,""f_cnt"":37755,""frm_payload"":""AXVgA2fFAARonQ=="",""decoded_payload"":{""decoded"":{""battery"":96,""humidity"":78.5,""temperature"":19.7},""errors"":[],""format"":""hex"",""msg"":""01 75 60 03 67 C5 00 04 68 9D"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:15:32.366729Z"",""timestamp"":2064253258,""rssi"":-69,""channel_rssi"":-69,""snr"":9.25,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABDKgqjYBxoMCMSK4roGEP+IzcoBIJCS1PiJtgI="",""received_at"":""2024-12-10T18:15:32.404848460Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868100000"",""timestamp"":2064253258,""time"":""2024-12-10T18:15:32.366729Z""},""received_at"":""2024-12-10T18:15:32.426231182Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264601038","2024-12-10 19:14:32","/ttndata/eui-24e124785d160333-28","{""end_device_ids"":{""device_id"":""eui-24e124785d160333-28"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D160333"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B2714""},""correlation_ids"":[""gs:uplink:01JERWFA7CQYMZ8S5MXAC7GVEQ""],""received_at"":""2024-12-10T18:14:32.640671163Z"",""uplink_message"":{""session_key_id"":""AY5v9iQTPIoc0bpioj3smQ=="",""f_port"":85,""f_cnt"":37754,""frm_payload"":""AXVgA2fCAARooA=="",""decoded_payload"":{""decoded"":{""battery"":96,""humidity"":80,""temperature"":19.4},""errors"":[],""format"":""hex"",""msg"":""01 75 60 03 67 C2 00 04 68 A0"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:14:32.367942Z"",""timestamp"":2004254704,""rssi"":-67,""channel_rssi"":-67,""snr"":9.75,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABDw/9m7BxoMCIiK4roGEPyM+soBIICDj7eqtAI="",""channel_index"":7,""received_at"":""2024-12-10T18:14:32.405586249Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867900000"",""timestamp"":2004254704,""time"":""2024-12-10T18:14:32.367942Z""},""received_at"":""2024-12-10T18:14:32.429810818Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264600335","2024-12-10 19:13:32","/ttndata/eui-24e124785d160333-28","{""end_device_ids"":{""device_id"":""eui-24e124785d160333-28"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D160333"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B2714""},""correlation_ids"":[""gs:uplink:01JERWDFM8479ZSES56CNN7QWP""],""received_at"":""2024-12-10T18:13:32.638669295Z"",""uplink_message"":{""session_key_id"":""AY5v9iQTPIoc0bpioj3smQ=="",""f_port"":85,""f_cnt"":37753,""frm_payload"":""AXVgA2e/AARoog=="",""decoded_payload"":{""decoded"":{""battery"":96,""humidity"":81,""temperature"":19.1},""errors"":[],""format"":""hex"",""msg"":""01 75 60 03 67 BF 00 04 68 A2"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:13:32.369987Z"",""timestamp"":1944256112,""rssi"":-67,""channel_rssi"":-67,""snr"":7.25,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABDw/IufBxoMCMyJ4roGEMWuqsoBIIDLx/XKsgI="",""channel_index"":2,""received_at"":""2024-12-10T18:13:32.404279826Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868500000"",""timestamp"":1944256112,""time"":""2024-12-10T18:13:32.369987Z""},""received_at"":""2024-12-10T18:13:32.425669688Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264600011","2024-12-10 19:12:32","/ttndata/eui-24e124785d160333-28","{""end_device_ids"":{""device_id"":""eui-24e124785d160333-28"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D160333"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B2714""},""correlation_ids"":[""gs:uplink:01JERWBN17G46BTC406AG7TZW6""],""received_at"":""2024-12-10T18:12:32.627211140Z"",""uplink_message"":{""session_key_id"":""AY5v9iQTPIoc0bpioj3smQ=="",""f_port"":85,""f_cnt"":37752,""frm_payload"":""AXVgA2e8AARopA=="",""decoded_payload"":{""decoded"":{""battery"":96,""humidity"":82,""temperature"":18.8},""errors"":[],""format"":""hex"",""msg"":""01 75 60 03 67 BC 00 04 68 A4"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:12:32.370309Z"",""timestamp"":1884256527,""rssi"":-67,""channel_rssi"":-67,""snr"":9.5,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABCP8r2CBxoMCJCJ4roGEI/r1MkBIJjFw7PrsAI="",""channel_index"":1,""received_at"":""2024-12-10T18:12:32.402878556Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868300000"",""timestamp"":1884256527,""time"":""2024-12-10T18:12:32.370309Z""},""received_at"":""2024-12-10T18:12:32.423816646Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264599486","2024-12-10 19:11:32","/ttndata/eui-24e124785d160333-28","{""end_device_ids"":{""device_id"":""eui-24e124785d160333-28"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D160333"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B2714""},""correlation_ids"":[""gs:uplink:01JERW9TEP7F97CNDAHA21M11A""],""received_at"":""2024-12-10T18:11:32.649658009Z"",""uplink_message"":{""session_key_id"":""AY5v9iQTPIoc0bpioj3smQ=="",""f_port"":85,""f_cnt"":37751,""frm_payload"":""AXVgA2e6AARopg=="",""decoded_payload"":{""decoded"":{""battery"":96,""humidity"":83,""temperature"":18.6},""errors"":[],""format"":""hex"",""msg"":""01 75 60 03 67 BA 00 04 68 A6"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:11:32.373716Z"",""timestamp"":1824258936,""rssi"":-67,""channel_rssi"":-67,""snr"":9.75,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABD49u/lBhoMCNSI4roGEPuwiNEBIMCZufKLrwI="",""channel_index"":4,""received_at"":""2024-12-10T18:11:32.418403144Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867300000"",""timestamp"":1824258936,""time"":""2024-12-10T18:11:32.373716Z""},""received_at"":""2024-12-10T18:11:32.439585295Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264598940","2024-12-10 19:10:32","/ttndata/eui-24e124785d160333-28","{""end_device_ids"":{""device_id"":""eui-24e124785d160333-28"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D160333"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B2714""},""correlation_ids"":[""gs:uplink:01JERW7ZVDJ0Q30GRN99J7PP06""],""received_at"":""2024-12-10T18:10:32.634051692Z"",""uplink_message"":{""session_key_id"":""AY5v9iQTPIoc0bpioj3smQ=="",""f_port"":85,""f_cnt"":37750,""frm_payload"":""AXVgA2e3AARoqA=="",""decoded_payload"":{""decoded"":{""battery"":96,""humidity"":84,""temperature"":18.3},""errors"":[],""format"":""hex"",""msg"":""01 75 60 03 67 B7 00 04 68 A8"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:10:32.375260Z"",""timestamp"":1764260313,""rssi"":-65,""channel_rssi"":-65,""snr"":7.5,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABDZ86HJBhoMCJiI4roGEK3bzMwBIKjv77CsrQI="",""channel_index"":2,""received_at"":""2024-12-10T18:10:32.409036922Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868500000"",""timestamp"":1764260313,""time"":""2024-12-10T18:10:32.375260Z""},""received_at"":""2024-12-10T18:10:32.430028754Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264598278","2024-12-10 19:09:32","/ttndata/eui-24e124785d160333-28","{""end_device_ids"":{""device_id"":""eui-24e124785d160333-28"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""24E124785D160333"",""join_eui"":""24E124C0002A0001"",""dev_addr"":""260B2714""},""correlation_ids"":[""gs:uplink:01JERW658MEBRC1J3GZR0QK5NX""],""received_at"":""2024-12-10T18:09:32.643267230Z"",""uplink_message"":{""session_key_id"":""AY5v9iQTPIoc0bpioj3smQ=="",""f_port"":85,""f_cnt"":37749,""frm_payload"":""AXVgA2e0AARoqQ=="",""decoded_payload"":{""decoded"":{""battery"":96,""humidity"":84.5,""temperature"":18},""errors"":[],""format"":""hex"",""msg"":""01 75 60 03 67 B4 00 04 68 A9"",""sensor"":""milesight_em300-th"",""warnings"":[]},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:09:32.376530Z"",""timestamp"":1704261719,""rssi"":-67,""channel_rssi"":-67,""snr"":10,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABDX8NOsBhoMCNyH4roGELas6c8BINinqO/MqwI="",""channel_index"":6,""received_at"":""2024-12-10T18:09:32.415858465Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867700000"",""timestamp"":1704261719,""time"":""2024-12-10T18:09:32.376530Z""},""received_at"":""2024-12-10T18:09:32.436990073Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
