"id","time","topic","payload"
"264601804","2024-12-10 19:15:54","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BEEC9""},""correlation_ids"":[""gs:uplink:01JERWHT3VBGH6RKTCW97JY9TV""],""received_at"":""2024-12-10T18:15:54.445011702Z"",""uplink_message"":{""session_key_id"":""AZOxa2rn0cQ+pTHoG52Htg=="",""f_port"":1,""f_cnt"":20,""frm_payload"":""MTU7MTIyNTsyMS4yOzY4"",""decoded_payload"":{""format"":""string"",""msg"":""15;1225;21.2;68"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:15:54.179757Z"",""timestamp"":2086067187,""rssi"":-70,""channel_rssi"":-70,""snr"":9.25,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABDzt9viBxoLCNqK4roGEOnz/W8guNqsmtu2Ag=="",""channel_index"":3,""received_at"":""2024-12-10T18:15:54.214807734Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867100000"",""timestamp"":2086067187,""time"":""2024-12-10T18:15:54.179757Z""},""received_at"":""2024-12-10T18:15:54.235894837Z"",""consumed_airtime"":""0.071936s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264599106","2024-12-10 19:10:49","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BEEC9""},""correlation_ids"":[""gs:uplink:01JERW8G562YJ5DZEJHCA3EB94""],""received_at"":""2024-12-10T18:10:49.331171612Z"",""uplink_message"":{""session_key_id"":""AZOxa2rn0cQ+pTHoG52Htg=="",""f_port"":1,""f_cnt"":19,""frm_payload"":""MTU7MTIwOTsxOS43Ozcx"",""decoded_payload"":{""format"":""string"",""msg"":""15;1209;19.7;71"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:10:49.067694Z"",""timestamp"":1780953377,""rssi"":-71,""channel_rssi"":-71,""snr"":9,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABCh4pzRBhoLCKmI4roGEJzSlzwg6NHfyOqtAg=="",""received_at"":""2024-12-10T18:10:49.106177513Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868100000"",""timestamp"":1780953377,""time"":""2024-12-10T18:10:49.067694Z""},""received_at"":""2024-12-10T18:10:49.127090567Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264596130","2024-12-10 19:05:43","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BEEC9""},""correlation_ids"":[""gs:uplink:01JERVZ56CFJJ8FHWGP2M5VPC9""],""received_at"":""2024-12-10T18:05:43.194634962Z"",""uplink_message"":{""session_key_id"":""AZOxa2rn0cQ+pTHoG52Htg=="",""f_port"":1,""f_cnt"":18,""frm_payload"":""MTU7MTI1OTsxOC41Ozcz"",""decoded_payload"":{""format"":""string"",""msg"":""15;1259;18.5;73"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:05:42.924663Z"",""timestamp"":1474807831,""rssi"":-74,""channel_rssi"":-74,""snr"":10.75,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABCXkJ+/BRoMCPaF4roGEInl7tYDINizlov2pAI="",""channel_index"":7,""received_at"":""2024-12-10T18:05:42.967942739Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867900000"",""timestamp"":1474807831,""time"":""2024-12-10T18:05:42.924663Z""},""received_at"":""2024-12-10T18:05:42.988662270Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264593418","2024-12-10 19:00:37","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BEEC9""},""correlation_ids"":[""gs:uplink:01JERVNT73GFQCHX0K3TJ5H1S3""],""received_at"":""2024-12-10T18:00:37.039680184Z"",""uplink_message"":{""session_key_id"":""AZOxa2rn0cQ+pTHoG52Htg=="",""f_port"":1,""f_cnt"":17,""frm_payload"":""MTU7MTI1NTsxNy40Ozc2"",""decoded_payload"":{""format"":""string"",""msg"":""15;1255;17.4;76"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T18:00:36.780495Z"",""timestamp"":1168662367,""rssi"":-71,""channel_rssi"":-71,""snr"":7.5,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABDfvqGtBBoMCMSD4roGEMDGgo4DIJiW0s2BnAI="",""channel_index"":2,""received_at"":""2024-12-10T18:00:36.815056760Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868500000"",""timestamp"":1168662367,""time"":""2024-12-10T18:00:36.780495Z""},""received_at"":""2024-12-10T18:00:36.835666583Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264590760","2024-12-10 18:55:30","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BEEC9""},""correlation_ids"":[""gs:uplink:01JERVCF8883KNMCM4QXKWN85H""],""received_at"":""2024-12-10T17:55:30.904649934Z"",""uplink_message"":{""session_key_id"":""AZOxa2rn0cQ+pTHoG52Htg=="",""f_port"":1,""f_cnt"":16,""frm_payload"":""MTU7MTI1NzsxNS45Ozc4"",""decoded_payload"":{""format"":""string"",""msg"":""15;1257;15.9;78"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T17:55:30.636706Z"",""timestamp"":862516993,""rssi"":-71,""channel_rssi"":-71,""snr"":10.5,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABCB7qObAxoMCJKB4roGEIqO+8sCIOi3k5CNkwI="",""channel_index"":6,""received_at"":""2024-12-10T17:55:30.673800884Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867700000"",""timestamp"":862516993,""time"":""2024-12-10T17:55:30.636706Z""},""received_at"":""2024-12-10T17:55:30.697484060Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264587720","2024-12-10 18:50:24","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BEEC9""},""correlation_ids"":[""gs:uplink:01JERV3494F0TYZ86H857BMJA0""],""received_at"":""2024-12-10T17:50:24.753178671Z"",""uplink_message"":{""session_key_id"":""AZOxa2rn0cQ+pTHoG52Htg=="",""f_port"":1,""f_cnt"":15,""frm_payload"":""MTU7MTI2NDsxNC4zOzc4"",""decoded_payload"":{""format"":""string"",""msg"":""15;1264;14.3;78"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T17:50:24.493137Z"",""timestamp"":556371750,""rssi"":-69,""channel_rssi"":-69,""snr"":7.5,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABCmnqaJAhoMCOD+4boGEIu1j4UCIPDY3NKYigI="",""channel_index"":1,""received_at"":""2024-12-10T17:50:24.524869142Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868300000"",""timestamp"":556371750,""time"":""2024-12-10T17:50:24.493137Z""},""received_at"":""2024-12-10T17:50:24.548410446Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264584990","2024-12-10 18:45:18","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BEEC9""},""correlation_ids"":[""gs:uplink:01JERTSSA8TDEN65TKA823TAKJ""],""received_at"":""2024-12-10T17:45:18.613393022Z"",""uplink_message"":{""session_key_id"":""AZOxa2rn0cQ+pTHoG52Htg=="",""f_port"":1,""f_cnt"":14,""frm_payload"":""MTU7MTI1NjsxMy4zOzc3"",""decoded_payload"":{""format"":""string"",""msg"":""15;1256;13.3;77"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T17:45:18.349636Z"",""timestamp"":250226654,""rssi"":-71,""channel_rssi"":-71,""snr"":7,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABDez6h3GgwIrvzhugYQ4/ScwgEgsPaulaSBAg=="",""channel_index"":5,""received_at"":""2024-12-10T17:45:18.384661561Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867500000"",""timestamp"":250226654,""time"":""2024-12-10T17:45:18.349636Z""},""received_at"":""2024-12-10T17:45:18.409057855Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264582421","2024-12-10 18:40:12","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BEEC9""},""correlation_ids"":[""gs:uplink:01JERTGEAY9JF4WJ3Z1XBJTJGM""],""received_at"":""2024-12-10T17:40:12.461389503Z"",""uplink_message"":{""session_key_id"":""AZOxa2rn0cQ+pTHoG52Htg=="",""f_port"":1,""f_cnt"":13,""frm_payload"":""MTU7MTM1MTsxMi44Ozc4"",""decoded_payload"":{""format"":""string"",""msg"":""15;1351;12.8;78"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T17:40:12.206001Z"",""timestamp"":4239048927,""rssi"":-74,""channel_rssi"":-74,""snr"":10.25,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABDfgavlDxoLCPz54boGEKzTi3kgmM6F2K/4AQ=="",""received_at"":""2024-12-10T17:40:12.231163587Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868100000"",""timestamp"":4239048927,""time"":""2024-12-10T17:40:12.206001Z""},""received_at"":""2024-12-10T17:40:12.255127013Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264579876","2024-12-10 18:35:06","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BEEC9""},""correlation_ids"":[""gs:uplink:01JERT73BXD7D89YJSS7WC14V3""],""received_at"":""2024-12-10T17:35:06.319883454Z"",""uplink_message"":{""session_key_id"":""AZOxa2rn0cQ+pTHoG52Htg=="",""f_port"":1,""f_cnt"":12,""frm_payload"":""MTU7MTA1ODsxMS40Ozc4"",""decoded_payload"":{""format"":""string"",""msg"":""15;1058;11.4;78"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T17:35:06.062392Z"",""timestamp"":3932904040,""rssi"":-71,""channel_rssi"":-71,""snr"":8.75,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABDotK3TDhoLCMr34boGEJyB6TMgwMzkmrvvAQ=="",""channel_index"":4,""received_at"":""2024-12-10T17:35:06.085892531Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867300000"",""timestamp"":3932904040,""time"":""2024-12-10T17:35:06.062392Z""},""received_at"":""2024-12-10T17:35:06.110270141Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"264577147","2024-12-10 18:30:00","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BEEC9""},""correlation_ids"":[""gs:uplink:01JERSXRCY44EX8GY2XC4PE3D4""],""received_at"":""2024-12-10T17:30:00.176886752Z"",""uplink_message"":{""session_key_id"":""AZOxa2rn0cQ+pTHoG52Htg=="",""f_port"":1,""f_cnt"":11,""frm_payload"":""MTU7MTA3Njs5Ljk7Nzc="",""decoded_payload"":{""format"":""string"",""msg"":""15;1076;9.9;77"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""lora-m013"",""eui"":""353036201F002100""},""time"":""2024-12-10T17:29:59.918590Z"",""timestamp"":3626759443,""rssi"":-67,""channel_rssi"":-67,""snr"":8,""location"":{""latitude"":50.68101687442356,""longitude"":14.00711219981184,""altitude"":155,""source"":""SOURCE_REGISTRY""},""uplink_token"":""ChcKFQoJbG9yYS1tMDEzEgg1MDYgHwAhABCT6q/BDRoMCJf14boGEKaxussDILik1d3G5gE="",""channel_index"":2,""received_at"":""2024-12-10T17:29:59.941077537Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868500000"",""timestamp"":3626759443,""time"":""2024-12-10T17:29:59.918590Z""},""received_at"":""2024-12-10T17:29:59.968104666Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
